user_id,username,tweet,description,hashtags,retweet_count,mention_count,follower_count,following_count,verified,account_age_days,label
110650,trade1606,Earn money with betting. offer ends soon! #discount,Official online course promotion account. giveaway.,#giveaway #ad #sponsored #deal #trading,5,3,2,593,False,824,1
102041,sam493,"Another day, more food. Stay tired everyone.",Just a human who loves holiday.,#happy,4,1,358,287,False,964,0
108668,maria691,Life update: coding and confused vibes.,Just a human who loves birthday.,#weekend #music #friends,16,1,620,460,False,2027,0
101114,john,Life update: festival and stressed vibes.,Student | friends | trying my best.,#friends,0,0,1013,396,False,1772,0
113902,bot4165,"Join our NFT program today, sign up today! #sponsored",Automated casino alerts and updates.,#giveaway #discount #deal,53,3,350,387,False,533,1
111963,auto9815,"Automate your casino profits, visit our website! #crypto",24/7 NFT signals and updates.,#win #deal #trading,45,3,4251,177,False,621,1
111072,crypto7464,Earn money with betting. giveaway! #discount,Official crypto promotion account. click this link.,#ad #deal #giveaway #NFT #bot,62,1,1,477,False,617,1
103002,maria,Life update: gaming and blessed vibes.,Student | travel | trying my best.,#music,26,3,914,308,False,1379,0
119771,crypto9676,Boost your followers results now! giveaway. #ad,24/7 AI signals signals and updates.,#win #trading #ad #discount,79,4,564,760,False,405,1
108115,rahul,"Feeling sad today, thinking about study.",Work lover and angry person.,#travel,11,1,984,417,False,1213,0
103525,sara,Spending my time on football and feeling blessed.,"Living, learning, and doing family.",#travel #study #mood,21,0,700,330,False,736,0
107879,sam_life,"Another day, more college. Stay grateful everyone.",Just a human who loves exams.,#study #weekend #life,45,1,451,320,False,1469,0
116441,deal8765,Earn money with betting. sign up today! #ad,Official betting promotion account. visit our website.,#trading #deal #win,52,2,7799,1680,False,450,1
116296,offer1771,"New crypto strategy released, buy now! #bot",24/7 online course signals and updates.,#ad #win,89,3,2136,1084,False,7,1
112566,bot9290,"New likes strategy released, buy now! #promo",Stock trading growth service. exclusive access.,#sponsored #trading #crypto #promo #giveaway,43,5,61,50,False,302,1
105252,priya,Spending my time on college and feeling tired.,"Living, learning, and doing friends.",,23,1,212,866,False,1847,0
119393,promo5326,Earn money with casino. click this link! #bot,Official weight loss promotion account. special deal.,#ad #deal #bot #win #trading,68,1,268,2035,False,661,1
116796,offer5925,"Join our forex program today, exclusive access! #giveaway",Weight loss growth service. win prizes.,#sponsored #giveaway #NFT,65,3,6678,298,False,695,1
108094,maria,"Another day, more football. Stay sad everyone.",Student | cricket | trying my best.,#travel,2,0,866,272,False,1461,0
100322,priya,"Feeling stressed today, thinking about holiday.",Just a human who loves cricket.,,30,2,996,129,False,539,0
109923,david958,"Feeling sad today, thinking about holiday.",Student | coffee | trying my best.,#family,0,0,970,481,False,1318,0
107459,david_life,"Another day, more coffee. Stay confused everyone.",Just a human who loves weekend.,#fitness,35,0,415,667,False,584,0
119024,promo6062,"Automate your likes profits, win prizes! #ad",Ai signals marketing bot. limited offer.,#giveaway #promo #bot,63,4,8207,568,False,286,1
117553,auto6097,Boost your forex results now! buy now. #promo,24/7 betting signals and updates.,#trading #ad #crypto #bot #giveaway,40,0,20,135,False,85,1
109119,john_life,"Feeling confused today, thinking about holiday.",Coding lover and proud person.,#family #music #fitness,38,2,1149,246,False,655,0
116421,auto1356,"Automate your loan profits, visit our website! #trading",Automated betting alerts and updates.,#bot #discount,89,1,2714,1729,False,261,1
116060,deal7821,Earn money with online course. click this link! #crypto,Likes growth service. win prizes.,#deal #bot #sponsored,60,3,4088,1541,False,201,1
110120,offer4912,Boost your AI signals results now! offer ends soon. #ad,Official stock trading promotion account. discount.,#deal #bot,25,3,479,2389,False,337,1
119055,deal3481,Boost your likes results now! special deal. #deal,Automated stock trading alerts and updates.,#sponsored #win #trading,8,1,718,2352,False,598,1
103649,maria614,Anyone else motivated about cricket these days?,Student | movies | trying my best.,,3,0,293,524,False,1759,0
103941,priya,Life update: coffee and happy vibes.,"Living, learning, and doing movies.",#music #family #fitness,32,1,536,675,False,2901,0
117880,deal6225,"Join our followers program today, limited offer! #NFT",Weight loss growth service. click this link.,#deal #promo,10,5,3,1172,False,813,1
116675,deal2152,"Join our likes program today, buy now! #ad",24/7 online course signals and updates.,#bot #ad #trading #promo #giveaway,50,5,10856,648,False,544,1
112630,offer4827,Boost your weight loss results now! giveaway. #discount,Online course growth service. click this link.,#deal #crypto,33,0,5371,50,False,487,1
111443,deal4545,"Join our online course program today, exclusive access! #win",Ai signals growth service. buy now.,#bot #crypto,0,1,3761,1282,False,176,1
112157,promo7976,"New NFT strategy released, exclusive access! #NFT",24/7 stock trading signals and updates.,#NFT #giveaway #promo,51,2,3171,1500,False,239,1
113835,crypto9454,"Join our likes program today, limited offer! #NFT",Likes marketing bot. sign up today.,#bot #giveaway,24,4,3264,677,False,531,1
